order,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
1,0,1.794906781,0.815,0.151,0,Act. CD8+,Cd8b1
2,0,1.760970821,0.994,0.253,0,Act. CD8+,Cd3g
3,0,1.732805399,0.832,0.116,0,Act. CD8+,Cxcr6
4,0,1.686573982,0.807,0.133,0,Act. CD8+,Cd8a
5,0,1.487583932,0.994,0.265,0,Act. CD8+,Cd3d
6,0,1.429319661,0.763,0.119,0,Act. CD8+,Lag3
7,0,1.425005354,0.776,0.077,0,Act. CD8+,Pdcd1
8,0,1.377609701,0.95,0.192,0,Act. CD8+,Cd3e
9,0,0.943561314,0.457,0.044,0,Act. CD8+,Gzmk
10,0,0.858472425,0.466,0.039,0,Act. CD8+,Rgs16
11,0,0.856476667,0.601,0.071,0,Act. CD8+,Tox
12,0,0.814683559,0.638,0.095,0,Act. CD8+,BC021614
13,8.51E-297,1.141604599,0.861,0.207,1.19E-292,Act. CD8+,Sh2d2a
14,1.40E-294,1.253772353,0.973,0.282,1.95E-290,Act. CD8+,Thy1
15,1.91E-293,1.003324817,0.909,0.218,2.67E-289,Act. CD8+,Lat
16,2.42E-283,1.413944384,0.599,0.092,3.39E-279,Act. CD8+,Ifng
17,2.27E-270,0.390113002,0.345,0.028,3.17E-266,Act. CD8+,Sdcbp2
18,8.19E-264,0.846182302,0.782,0.168,1.15E-259,Act. CD8+,Gm8369
19,8.67E-256,0.754062906,0.778,0.169,1.21E-251,Act. CD8+,Zap70
20,8.84E-256,0.57010775,0.43,0.049,1.24E-251,Act. CD8+,Ctla4
21,2.79E-245,0.714624992,0.694,0.136,3.90E-241,Act. CD8+,Cd28
22,2.18E-242,0.748486909,0.815,0.189,3.05E-238,Act. CD8+,Cd247
23,3.52E-220,1.476945088,0.95,0.42,4.92E-216,Act. CD8+,Nkg7
24,4.16E-220,0.394974129,0.395,0.047,5.81E-216,Act. CD8+,Themis
25,1.02E-219,0.542113275,0.513,0.081,1.43E-215,Act. CD8+,Cd6
26,9.80E-217,1.076666124,0.981,0.408,1.37E-212,Act. CD8+,Ptprcap
27,1.41E-215,0.835848135,0.846,0.24,1.97E-211,Act. CD8+,Cd27
28,7.72E-212,0.89403322,0.973,0.33,1.08E-207,Act. CD8+,Lck
29,8.04E-207,0.981928166,0.96,0.345,1.12E-202,Act. CD8+,Cd2
30,8.37E-206,-2.350279394,0.389,0.892,1.17E-201,Act. CD8+,Fcer1g
31,3.17E-201,0.651462456,0.592,0.123,4.43E-197,Act. CD8+,Serpinb6a
32,5.69E-201,-2.294427821,0.329,0.872,7.95E-197,Act. CD8+,Tyrobp
33,2.17E-198,0.519526182,0.424,0.062,3.03E-194,Act. CD8+,Wdr95
34,4.72E-198,1.304840068,0.761,0.212,6.61E-194,Act. CD8+,Gzmb
35,3.64E-197,0.919907998,0.495,0.086,5.10E-193,Act. CD8+,Tnfrsf4
36,8.50E-194,0.453935434,0.478,0.079,1.19E-189,Act. CD8+,Cd5
37,7.16E-192,0.825049524,0.836,0.244,1.00E-187,Act. CD8+,Gimap7
38,2.16E-189,0.867307368,0.854,0.281,3.02E-185,Act. CD8+,Pglyrp1
39,3.66E-181,0.485445147,0.489,0.089,5.12E-177,Act. CD8+,Ikzf3
40,1.13E-180,0.844690827,0.788,0.247,1.59E-176,Act. CD8+,Cst7
41,1.67E-180,0.745391984,0.931,0.32,2.34E-176,Act. CD8+,Gimap1
